Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,17115,1997,2,85,Y
IDCJAC0001,17115,1997,3,0,Y
IDCJAC0001,17115,1997,4,0,Y
IDCJAC0001,17115,1997,5,2.6,Y
IDCJAC0001,17115,1997,6,2.2,Y
IDCJAC0001,17115,1997,7,0,Y
IDCJAC0001,17115,1997,8,2.6,Y
IDCJAC0001,17115,1997,9,4.4,Y
IDCJAC0001,17115,1997,10,0,Y
IDCJAC0001,17115,1997,11,37.4,Y
IDCJAC0001,17115,1997,12,5.2,Y
IDCJAC0001,17115,1998,1,37.8,Y
IDCJAC0001,17115,1998,2,16.4,Y
IDCJAC0001,17115,1998,3,0,Y
IDCJAC0001,17115,1998,4,7.4,Y
IDCJAC0001,17115,1998,5,12.5,Y
IDCJAC0001,17115,1998,6,16.4,Y
IDCJAC0001,17115,1998,7,56.6,Y
IDCJAC0001,17115,1998,8,2.2,Y
IDCJAC0001,17115,1998,9,122,Y
IDCJAC0001,17115,1998,10,0,Y
IDCJAC0001,17115,1998,11,17,Y
IDCJAC0001,17115,1998,12,0,Y
IDCJAC0001,17115,1999,1,14,Y
IDCJAC0001,17115,1999,2,16,Y
IDCJAC0001,17115,1999,3,16,Y
IDCJAC0001,17115,1999,4,0,Y
IDCJAC0001,17115,1999,5,2,Y
IDCJAC0001,17115,1999,6,8.8,Y
IDCJAC0001,17115,1999,7,8,Y
IDCJAC0001,17115,1999,8,5,Y
IDCJAC0001,17115,1999,9,6.4,Y
IDCJAC0001,17115,1999,10,15.4,Y
IDCJAC0001,17115,1999,11,7.4,Y
IDCJAC0001,17115,1999,12,34,Y
IDCJAC0001,17115,2000,1,0,Y
IDCJAC0001,17115,2000,2,127.6,Y
IDCJAC0001,17115,2000,3,30,Y
IDCJAC0001,17115,2000,4,36.6,Y
IDCJAC0001,17115,2000,5,32.6,Y
IDCJAC0001,17115,2000,6,0,Y
IDCJAC0001,17115,2000,7,4,Y
IDCJAC0001,17115,2000,8,69.4,Y
IDCJAC0001,17115,2000,9,0,Y
IDCJAC0001,17115,2000,10,17.8,Y
IDCJAC0001,17115,2000,11,19.6,Y
IDCJAC0001,17115,2000,12,12,Y
IDCJAC0001,17115,2001,1,27.2,Y
IDCJAC0001,17115,2001,2,2,Y
IDCJAC0001,17115,2001,3,16,Y
IDCJAC0001,17115,2001,4,0,Y
IDCJAC0001,17115,2001,5,0,Y
IDCJAC0001,17115,2001,6,53.6,Y
IDCJAC0001,17115,2001,7,16.2,Y
IDCJAC0001,17115,2001,8,0,Y
IDCJAC0001,17115,2001,9,8,Y
IDCJAC0001,17115,2001,10,33.4,Y
IDCJAC0001,17115,2001,11,0,Y
IDCJAC0001,17115,2001,12,11.2,Y
IDCJAC0001,17115,2002,1,11.4,Y
IDCJAC0001,17115,2002,2,22.8,Y
IDCJAC0001,17115,2002,3,0,Y
IDCJAC0001,17115,2002,4,0,Y
IDCJAC0001,17115,2002,5,9.4,Y
IDCJAC0001,17115,2002,6,0,Y
IDCJAC0001,17115,2002,7,0,Y
IDCJAC0001,17115,2002,8,0,Y
IDCJAC0001,17115,2002,9,0,Y
IDCJAC0001,17115,2002,10,0,Y
IDCJAC0001,17115,2002,11,1,Y
IDCJAC0001,17115,2002,12,18.6,Y
IDCJAC0001,17115,2003,1,2,Y
IDCJAC0001,17115,2003,2,23.4,Y
IDCJAC0001,17115,2003,3,0,Y
IDCJAC0001,17115,2003,4,47.6,Y
IDCJAC0001,17115,2003,5,3.2,Y
IDCJAC0001,17115,2003,6,42,Y
IDCJAC0001,17115,2003,7,0,Y
IDCJAC0001,17115,2003,8,32.8,Y
IDCJAC0001,17115,2003,9,0,Y
IDCJAC0001,17115,2003,10,6.4,Y
IDCJAC0001,17115,2003,11,24.6,Y
IDCJAC0001,17115,2003,12,7,Y
IDCJAC0001,17115,2004,1,0,Y
IDCJAC0001,17115,2004,2,14,Y
IDCJAC0001,17115,2004,3,0,Y
IDCJAC0001,17115,2004,4,9,Y
IDCJAC0001,17115,2004,5,37.6,Y
IDCJAC0001,17115,2004,6,10.2,Y
IDCJAC0001,17115,2004,7,3,Y
IDCJAC0001,17115,2004,8,13,Y
IDCJAC0001,17115,2004,9,12.4,Y
IDCJAC0001,17115,2004,10,0,Y
IDCJAC0001,17115,2004,11,17.8,Y
IDCJAC0001,17115,2004,12,0,Y
IDCJAC0001,17115,2005,1,0,Y
IDCJAC0001,17115,2005,2,0,Y
IDCJAC0001,17115,2005,3,0,Y
IDCJAC0001,17115,2005,4,0,Y
IDCJAC0001,17115,2005,5,0,Y
IDCJAC0001,17115,2005,6,40.4,Y
IDCJAC0001,17115,2005,7,20,Y
IDCJAC0001,17115,2005,8,1,Y
IDCJAC0001,17115,2005,9,12.4,Y
IDCJAC0001,17115,2005,10,12.4,Y
IDCJAC0001,17115,2005,11,4,Y
IDCJAC0001,17115,2005,12,2,Y
IDCJAC0001,17115,2006,1,3.8,Y
IDCJAC0001,17115,2006,2,6.4,Y
IDCJAC0001,17115,2006,3,0,Y
IDCJAC0001,17115,2006,4,3,Y
IDCJAC0001,17115,2006,5,0,Y
IDCJAC0001,17115,2006,6,5,Y
IDCJAC0001,17115,2006,7,15.5,Y
IDCJAC0001,17115,2006,8,0,Y
IDCJAC0001,17115,2006,9,0,Y
IDCJAC0001,17115,2006,10,7.4,Y
IDCJAC0001,17115,2006,11,4,Y
IDCJAC0001,17115,2006,12,0,Y
IDCJAC0001,17115,2007,1,30.4,Y
IDCJAC0001,17115,2007,2,0,Y
IDCJAC0001,17115,2007,3,3.8,Y
IDCJAC0001,17115,2007,4,20.4,Y
IDCJAC0001,17115,2007,5,86.4,Y
IDCJAC0001,17115,2007,6,1.4,Y
IDCJAC0001,17115,2007,7,0,Y
IDCJAC0001,17115,2007,8,5,Y
IDCJAC0001,17115,2007,9,0,Y
IDCJAC0001,17115,2007,10,23.2,FG
IDCJAC0001,17115,2007,11,15.2,Y
IDCJAC0001,17115,2007,12,15.4,Y
IDCJAC0001,17115,2008,1,1.2,Y
IDCJAC0001,17115,2008,2,37.8,FG
IDCJAC0001,17115,2008,3,0,Y
IDCJAC0001,17115,2008,4,0,Y
IDCJAC0001,17115,2008,5,0,Y
