Site,Easting,Northing,Lat,Lon
Quinyambie,482600,6700491,-29.8258102269971,140.819905810142
Strzelecki Regional Reserve,457014,6746182,-29.4128304368393,140.556896755697
Winnathee,514650,6703822,-29.7957843292924,141.151585772751
Sturt National Park,504794,6774055,-29.1619889791136,141.049296621456
