Trip,site,fence,leggadina,Rattusperhundred,fuscusperhundred,Smac,Scrassi,Mus,Paustralis,Pherman,Pdesertor,daysuridspecies,rodentspecies,mulgara,letterwingselect,letterwingperkm
1-Jul-15,W,in,0.00,0.00,0.00,0.000,0.0,0.8,0.0,0.0,0.0,0.00,1.00,0.0,0.00,0.0000
1-Nov-15,Q,out,0.00,0.00,44.83,1.480,0.0,5.4,0.0,1.2,0.8,1.00,4.00,0.0,0.00,0.0000
1-Nov-15,SNP,in,0.00,0.00,0.00,0.000,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.00,0.0000
1-Nov-15,SRR,out,0.00,0.00,32.76,0.430,0.0,2.2,0.0,0.0,0.1,2.00,3.00,0.3,0.00,0.0000
1-Nov-15,W,in,0.00,0.00,0.00,0.000,0.0,0.0,0.0,0.2,0.0,0.00,1.00,0.0,0.00,0.0000
1-Mar-16,Q,out,0.00,0.00,29.89,0.960,0.0,0.8,0.0,1.2,0.0,1.00,3.00,0.0,0.00,0.0000
1-Mar-16,SNP,in,0.00,0.00,0.32,0.000,0.0,0.0,0.0,0.0,0.0,0.00,1.00,0.0,0.00,0.0000
1-Mar-16,SRR,out,0.00,0.14,17.96,0.140,0.0,2.4,0.6,0.4,0.7,2.00,6.00,0.4,0.00,0.0000
1-Mar-16,W,in,0.00,0.00,1.14,0.000,0.0,0.0,0.0,0.0,0.0,0.00,1.00,0.0,0.00,0.0000
1-Jun-16,Q,out,0.00,0.16,39.74,0.960,0.0,0.8,0.0,1.1,0.0,1.00,4.00,0.0,0.00,0.0000
1-Jun-16,SNP,in,0.00,0.00,0.28,0.000,0.0,0.4,0.0,0.0,0.0,0.00,1.00,0.0,0.00,0.0000
1-Jun-16,SRR,out,0.00,0.00,19.11,0.287,0.0,0.3,0.0,0.4,0.0,1.00,3.00,0.0,0.00,0.0000
1-Jun-16,W,in,0.00,0.00,0.00,0.000,0.0,0.5,0.0,0.2,0.0,0.00,2.00,0.0,0.00,0.0000
1-Nov-16,Q,out,0.00,0.00,45.02,4.406,0.0,2.1,1.3,0.8,0.4,1.00,5.00,0.0,0.00,0.0000
1-Nov-16,SNP,in,0.00,0.00,5.38,0.216,0.0,0.5,0.0,0.4,0.0,1.00,3.00,0.0,0.00,0.0000
1-Nov-16,SRR,out,0.00,0.00,33.62,0.000,0.0,0.2,0.0,1.1,0.2,1.00,4.00,1.9,0.00,0.0000
